epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.25,1.60606,1.7207,1.22407,0.78095,0.74014,0.78262,0.42569,1.42311,1.09028,1.17604,0.00333032,0.00333032,0.00333032
2,587.511,1.54463,1.14463,1.16403,0.83001,0.75036,0.8179,0.4501,1.44454,0.94058,1.18549,0.00653172,0.00653172,0.00653172
3,890.636,1.55984,1.07282,1.1807,0.79714,0.72886,0.79185,0.42797,1.49704,0.98409,1.22504,0.00960111,0.00960111,0.00960111
4,1229.6,1.56708,1.02256,1.18542,0.81344,0.74161,0.80862,0.44479,1.44414,0.90227,1.20556,0.009406,0.009406,0.009406
5,1555.97,1.53948,0.96396,1.17302,0.79622,0.76692,0.81681,0.46655,1.40118,0.86237,1.1805,0.009208,0.009208,0.009208
6,1851.51,1.51726,0.92786,1.16614,0.82025,0.79189,0.84216,0.48117,1.38741,0.80571,1.17463,0.00901,0.00901,0.00901
7,2146.72,1.49705,0.89281,1.15513,0.83475,0.78999,0.8526,0.49344,1.38373,0.78422,1.17204,0.008812,0.008812,0.008812
8,2450.59,1.49067,0.87755,1.14819,0.83915,0.80116,0.86011,0.49852,1.36832,0.77648,1.15981,0.008614,0.008614,0.008614
9,2753.65,1.47529,0.8532,1.14279,0.83692,0.80746,0.86187,0.50413,1.35325,0.74625,1.15574,0.008416,0.008416,0.008416
10,3060.09,1.46625,0.83791,1.13661,0.85097,0.80978,0.86914,0.5126,1.33985,0.7305,1.14722,0.008218,0.008218,0.008218
11,3386.12,1.46037,0.83021,1.13738,0.85937,0.8113,0.87227,0.51293,1.33349,0.72341,1.14135,0.00802,0.00802,0.00802
12,3682.7,1.45492,0.82161,1.13476,0.86522,0.82689,0.88453,0.52541,1.34019,0.70566,1.14356,0.007822,0.007822,0.007822
13,3982.21,1.43985,0.80747,1.12962,0.86337,0.82428,0.87949,0.52068,1.33467,0.69868,1.14381,0.007624,0.007624,0.007624
14,4798.64,1.44264,0.80352,1.12838,0.8665,0.83038,0.88837,0.53057,1.32434,0.68782,1.13616,0.007426,0.007426,0.007426
15,5172.92,1.43275,0.78879,1.12245,0.86671,0.83062,0.88791,0.53102,1.31937,0.68665,1.1324,0.007228,0.007228,0.007228
16,5491.47,1.43457,0.78993,1.12271,0.86001,0.83296,0.88967,0.53683,1.31258,0.68457,1.12789,0.00703,0.00703,0.00703
17,5785.78,1.4201,0.77537,1.11805,0.86855,0.84077,0.89491,0.54109,1.30954,0.66656,1.12396,0.006832,0.006832,0.006832
18,6095.52,1.41461,0.77109,1.11534,0.86916,0.84564,0.90021,0.54771,1.29756,0.65809,1.1144,0.006634,0.006634,0.006634
19,6402.35,1.4216,0.76565,1.11126,0.87337,0.8439,0.9003,0.54776,1.29374,0.65956,1.1123,0.006436,0.006436,0.006436
20,6707.64,1.41158,0.76271,1.11129,0.87744,0.84218,0.90048,0.55023,1.29373,0.65187,1.11057,0.006238,0.006238,0.006238
21,7028.35,1.40721,0.75663,1.10914,0.87356,0.85093,0.90441,0.55269,1.28699,0.64533,1.10803,0.00604,0.00604,0.00604
22,7345.83,1.40172,0.74942,1.10612,0.87951,0.84679,0.90595,0.55617,1.28167,0.63808,1.10603,0.005842,0.005842,0.005842
23,8721.25,1.4004,0.74534,1.10587,0.87256,0.85465,0.90719,0.55874,1.27732,0.63316,1.1018,0.005644,0.005644,0.005644
24,9099.87,1.39601,0.73824,1.10339,0.87698,0.85496,0.90864,0.56081,1.27835,0.62788,1.10656,0.005446,0.005446,0.005446
25,9481.03,1.38456,0.73138,1.10125,0.87878,0.85858,0.91125,0.56263,1.27473,0.62361,1.10299,0.005248,0.005248,0.005248
26,9878.44,1.38984,0.72774,1.0986,0.87755,0.85651,0.91188,0.56311,1.27264,0.62222,1.10085,0.00505,0.00505,0.00505
27,10176.3,1.38441,0.72287,1.09593,0.87403,0.8628,0.91403,0.56613,1.2696,0.61709,1.09874,0.004852,0.004852,0.004852
28,11079.8,1.3822,0.7205,1.09616,0.88478,0.85718,0.91529,0.56735,1.26659,0.61461,1.09706,0.004654,0.004654,0.004654
29,11380.1,1.37718,0.71498,1.09429,0.88699,0.85593,0.91541,0.56833,1.26224,0.61035,1.09377,0.004456,0.004456,0.004456
30,11687,1.37324,0.7123,1.0941,0.88695,0.85874,0.91655,0.57119,1.2594,0.60814,1.09449,0.004258,0.004258,0.004258
31,11988.7,1.36784,0.70842,1.09421,0.88629,0.85963,0.9163,0.57146,1.25838,0.60581,1.09376,0.00406,0.00406,0.00406
32,12288.6,1.36542,0.70376,1.08933,0.887,0.86195,0.91847,0.57216,1.25744,0.601,1.09141,0.003862,0.003862,0.003862
33,12602.4,1.37097,0.70373,1.08757,0.88482,0.86895,0.92114,0.57392,1.25621,0.60006,1.09138,0.003664,0.003664,0.003664
34,12938.3,1.36098,0.69239,1.08673,0.88678,0.86799,0.92071,0.57496,1.25484,0.59778,1.08972,0.003466,0.003466,0.003466
35,13248.7,1.35702,0.69339,1.0844,0.88498,0.86864,0.92142,0.57541,1.25371,0.59608,1.08956,0.003268,0.003268,0.003268
36,13553,1.35405,0.68603,1.08357,0.88352,0.87086,0.92269,0.57754,1.25192,0.59348,1.08932,0.00307,0.00307,0.00307
37,13847.8,1.35002,0.68362,1.08124,0.88858,0.86794,0.92221,0.57741,1.25071,0.59189,1.08856,0.002872,0.002872,0.002872
38,14176.8,1.34322,0.67792,1.07738,0.89178,0.86569,0.92303,0.57847,1.25011,0.59003,1.08704,0.002674,0.002674,0.002674
39,14481.2,1.3424,0.67621,1.07565,0.89072,0.86628,0.92335,0.57945,1.24838,0.5893,1.08459,0.002476,0.002476,0.002476
40,14790.7,1.34172,0.66746,1.07439,0.88891,0.86764,0.92342,0.57998,1.24711,0.58715,1.08331,0.002278,0.002278,0.002278
41,15106.2,1.33285,0.61474,1.08224,0.88467,0.86937,0.92301,0.57984,1.24731,0.58446,1.08342,0.00208,0.00208,0.00208
42,15407.4,1.32758,0.61096,1.08019,0.88864,0.86536,0.92354,0.58085,1.24596,0.58331,1.08393,0.001882,0.001882,0.001882
43,16244.1,1.32135,0.60412,1.08183,0.88854,0.86743,0.92421,0.5816,1.24528,0.5827,1.08559,0.001684,0.001684,0.001684
44,16542.8,1.31601,0.59835,1.07603,0.89087,0.86748,0.92458,0.58175,1.24477,0.58151,1.08488,0.001486,0.001486,0.001486
45,17367,1.31372,0.59459,1.07115,0.8917,0.86776,0.92493,0.58255,1.24385,0.58001,1.08358,0.001288,0.001288,0.001288
46,17666.6,1.30743,0.58694,1.07204,0.89062,0.86728,0.92433,0.58261,1.24314,0.57887,1.08366,0.00109,0.00109,0.00109
47,17972.7,1.30365,0.58378,1.06785,0.89155,0.86958,0.92477,0.58313,1.24309,0.57841,1.08382,0.000892,0.000892,0.000892
48,18273.7,1.30039,0.57981,1.06542,0.89477,0.86666,0.92515,0.58297,1.24272,0.57767,1.08307,0.000694,0.000694,0.000694
49,18577.6,1.29291,0.5747,1.06466,0.89454,0.86664,0.92509,0.58319,1.24223,0.57727,1.08259,0.000496,0.000496,0.000496
50,18890.4,1.28766,0.56766,1.0625,0.89492,0.86631,0.92501,0.58321,1.24233,0.57649,1.08261,0.000298,0.000298,0.000298
